ParticipantID,Trial,SaccadeNo,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,PeakVelocity,MeanVelocity,Blink,Direction,Amplitude,EyeTracked,Task,StartY_flipped,EndY_flipped,Order,Stimulus,SearchOrCount
cass1,2,23,6104,6154,52,533.2,958.6,976.5,903.4,467.58,192.87,FALSE,RIGHT,8.83,RIGHT,Visual foraging,92.39999999999998,147.60000000000002,1,flower.jpg,Search
cass1,2,24,6322,6340,20,986.7,887,928.5,909.6,95.36,58.75,FALSE,LEFT,1.27,RIGHT,Visual foraging,164,141.39999999999998,1,flower.jpg,Search
cass1,2,25,6848,6902,56,926.2,902,1114.7,597.8,372.88,174.43,FALSE,UP,8.23,RIGHT,Visual foraging,149,453.20000000000005,1,flower.jpg,Search
cass1,2,26,7234,7272,40,1112.8,575,822.9,406.8,343.09,187.62,FALSE,LEFT,7.42,RIGHT,Visual foraging,476,644.2,1,flower.jpg,Search
cass1,2,27,7486,7506,22,823.3,421.8,791.1,370,112.62,64.69,FALSE,UP,1.51,RIGHT,Visual foraging,629.2,681,1,flower.jpg,Search
cass1,2,28,7710,7734,26,799.1,386.2,866.1,478.6,187.25,106.74,FALSE,DOWN,2.77,RIGHT,Visual foraging,664.8,572.4,1,flower.jpg,Search
cass1,2,29,7908,7928,22,859,470.5,796.5,547.3,177.87,100.87,FALSE,DOWN,2.36,RIGHT,Visual foraging,580.5,503.70000000000005,1,flower.jpg,Search
cass1,2,30,8118,8162,46,814.9,529.7,989.2,292.7,491.28,191.82,FALSE,UP,7.13,RIGHT,Visual foraging,521.3,758.3,1,flower.jpg,Search
cass1,2,31,8602,8636,36,979.9,290.2,1081.5,247.6,223.1,100.59,FALSE,RIGHT,2.43,RIGHT,Visual foraging,760.8,803.4,1,flower.jpg,Search
cass1,2,32,8900,8944,46,1100.4,258.4,838.1,321.6,352.15,139.66,FALSE,LEFT,5.81,RIGHT,Visual foraging,792.6,729.4,1,flower.jpg,Search
cass1,2,33,9128,9144,18,828.3,335.7,805.6,375.2,92.73,62.91,FALSE,DOWN,1.14,RIGHT,Visual foraging,715.3,675.8,1,flower.jpg,Search
cass1,2,34,9526,9548,24,801.1,382.2,774.3,480.5,203.68,107.34,FALSE,DOWN,2.6,RIGHT,Visual foraging,668.8,570.5,1,flower.jpg,Search
cass1,2,35,9776,9808,34,783.3,482.4,786.8,565.3,210.05,94.48,FALSE,DOWN,2.11,RIGHT,Visual foraging,568.6,485.70000000000005,1,flower.jpg,Search
cass1,2,36,9942,9984,44,795.2,577.6,340.3,531.5,416.75,213.14,FALSE,LEFT,9.41,RIGHT,Visual foraging,473.4,519.5,1,flower.jpg,Search
cass1,2,37,10308,10328,22,335.1,532.7,305,557.6,86.68,46.16,FALSE,DOWN,0.87,RIGHT,Visual foraging,518.3,493.4,1,flower.jpg,Search
cass1,2,38,10474,10524,52,309.2,551.7,227.6,191.6,432.93,198.24,FALSE,UP,9.28,RIGHT,Visual foraging,499.29999999999995,859.4,1,flower.jpg,Search
cass1,2,39,10988,11016,30,232.3,189,383.9,50.5,308.17,158.79,FALSE,UP,4.77,RIGHT,Visual foraging,862,1000.5,1,flower.jpg,Search
cass1,2,40,11242,11258,18,384.7,62.6,332.4,46.8,90.9,60.63,FALSE,LEFT,1.16,RIGHT,Visual foraging,988.4,1004.2,1,flower.jpg,Search
cass1,2,41,11678,11742,66,335.3,43.4,1124.8,333.2,605.3,296.9,FALSE,RIGHT,18.12,RIGHT,Visual foraging,1007.6,717.8,1,flower.jpg,Search
cass1,2,42,12012,12036,26,1142.2,357.2,1117.3,450.6,167.55,93.65,FALSE,DOWN,2.47,RIGHT,Visual foraging,693.8,600.4,1,flower.jpg,Search
cass1,2,43,12228,12260,34,1126.2,446.3,1021.6,272.7,296.9,151.57,FALSE,UP,5.02,RIGHT,Visual foraging,604.7,778.3,1,flower.jpg,Search
